,Date,Open,High,Low,Close,Fifty_EMA,Twenty_EMA,Under/Over EMA,One_day_yield,Two_day_yield,Three_day_yield
3118,6/25/1974,87.690002,89.480003,87.669998,88.980003,90.6836063908123,89.639107759269,Under,Up,Down,Down
3119,6/26/1974,88.980003,89.120003,87.300003,87.610001,90.56307284607456,89.44585949648148,Under,Up,Up,Up
3120,6/27/1974,87.610001,87.610001,85.879997,86.309998,90.39628559720889,89.1472060206261,Under,Down,Down,Up
3121,6/28/1974,86.309998,86.779999,85.129997,86.0,90.22388224045561,88.84747211389981,Under,Down,Down,Down
3122,7/1/1974,86.0,86.889999,85.32,86.019997,90.05902399573186,88.57818876971888,Under,Down,Down,Down
3123,7/2/1974,86.019997,86.260002,83.980003,84.300003,89.83318003511492,88.17074250593613,Under,Up,Down,Down
3124,7/3/1974,84.300003,85.150002,83.459999,84.25,89.61423179844374,87.79733845775174,Under,Down,Down,Down
3125,7/5/1974,84.25,84.449997,83.169998,83.660004,89.380732669093,87.40330660463252,Under,Down,Down,Down
3126,7/8/1974,83.129997,83.129997,80.480003,81.089996,89.05560574089328,86.80203892800085,Under,Down,Down,Down
3127,7/9/1974,81.089996,82.5,80.349998,81.480003,88.7585232804661,86.29517836342934,Under,Down,Down,Down
3128,7/10/1974,81.480003,82.220001,79.739998,79.989998,88.41465954397724,85.6946849954837,Under,Up,Down,Down
3129,7/11/1974,79.989998,81.080002,79.080002,79.889999,88.08035913048793,85.14185775781858,Under,Down,Down,Down
3130,7/12/1974,80.970001,83.650002,80.970001,83.150002,87.88701179203743,84.95215720945491,Under,Down,Down,Down
3131,7/15/1974,83.150002,84.889999,82.650002,83.779999,87.7259524668595,84.84052309426873,Under,Up,Up,Up
3132,7/16/1974,83.779999,83.849998,82.139999,82.809998,87.53316993874736,84.64713975195743,Under,Up,Up,Up
3133,7/17/1974,82.809998,84.129997,81.699997,83.699997,87.3828494313455,84.55693568034243,Under,Down,Down,Up
3134,7/18/1974,83.699997,85.389999,83.129997,83.779999,87.24156117913589,84.48294171078602,Under,Up,Down,Up
3135,7/19/1974,83.779999,84.669998,82.870003,83.540001,87.09640195642467,84.39313783356832,Under,Up,Up,Equal
3136,7/22/1974,83.540001,84.440002,82.589996,83.809998,86.96752336989822,84.33760070656182,Under,Down,Down,Up
3137,7/23/1974,83.809998,85.629997,83.669998,84.650002,86.87664017892182,84.3673532106988,Under,Up,Up,Up
3138,7/24/1974,84.650002,85.639999,83.610001,84.989998,86.80265421112097,84.42665271444176,Under,Up,Up,Up
3139,7/25/1974,84.989998,85.669998,83.129997,83.980003,86.69196200676329,84.38411464639968,Under,Up,Up,Up
3140,7/26/1974,83.980003,84.169998,82.0,82.400002,86.52364984963532,84.19515153721875,Under,Down,Down,Up
3141,7/29/1974,82.019997,82.019997,80.220001,80.940002,86.30468326729668,83.88513729557887,Under,Down,Down,Down
3142,7/30/1974,80.940002,81.519997,79.580002,80.5,86.07704862936347,83.5627432674285,Under,Down,Down,Down
3143,7/31/1974,80.5,80.82,78.959999,79.309998,85.81167409487864,83.1577199086258,Under,Down,Down,Down
3144,8/1/1974,79.309998,80.019997,77.970001,78.75,85.53474569900105,82.73793706018525,Under,Down,Down,Down
3145,8/2/1974,78.75,79.389999,77.839996,78.589996,85.26240257355003,82.34289505445332,Under,Down,Down,Down
3146,8/5/1974,78.589996,80.309998,78.029999,79.290001,85.02819074713632,82.05214323974349,Under,Down,Down,Down
3147,8/6/1974,79.779999,82.650002,79.779999,80.519997,84.85139883548392,81.9062245502441,Under,Up,Up,Down
3148,8/7/1974,80.519997,82.93,80.129997,82.650002,84.76506954781789,81.97706049783991,Under,Up,Up,Up
3149,8/8/1974,82.650002,83.529999,80.860001,81.57,84.63977270280543,81.93829283137897,Under,Up,Up,Up
3150,8/9/1974,81.57,81.879997,80.110001,80.860001,84.49154636151896,81.83559837124764,Under,Down,Up,Up
3151,8/12/1974,80.860001,81.260002,79.300003,79.75,84.30560336694958,81.63696995493834,Under,Down,Down,Up
3152,8/13/1974,79.75,79.949997,77.830002,78.489998,84.07754041138294,81.3372583401823,Under,Down,Down,Down
3153,8/14/1974,76.730003,76.730003,76.730003,76.730003,83.78940168936792,80.8984721173078,Under,Down,Down,Down
3154,8/15/1974,76.730003,77.519997,75.190002,76.300003,83.49569977998094,80.46052267756421,Under,Down,Down,Down
3155,8/16/1974,76.300003,77.019997,75.290001,75.669998,83.18880951409933,80.0042822320819,Under,Down,Down,Down
3156,8/19/1974,75.650002,75.650002,73.779999,74.57,82.85081698413465,79.4867315433122,Under,Down,Down,Down
3157,8/20/1974,74.57,76.110001,73.82,74.949997,82.54098090632544,79.05466158680628,Under,Down,Down,Down
3158,8/21/1974,74.949997,75.5,73.160004,73.510002,82.18682487078328,78.5265987690152,Under,Up,Down,Down
3159,8/22/1974,73.510002,74.050003,71.610001,72.800003,81.81871420918395,77.98120869577565,Under,Down,Down,Down
3160,8/23/1974,72.800003,73.709999,70.75,71.550003,81.41601965196105,77.36871291522559,Under,Down,Down,Down
3161,8/26/1974,71.550003,73.169998,70.419998,72.160004,81.0530386460018,76.87264539948983,Under,Down,Down,Down
3162,8/27/1974,72.160004,72.5,70.5,70.940002,80.65644897360957,76.30763174239556,Under,Up,Down,Down
3163,8/28/1974,70.940002,72.169998,70.129997,70.760002,80.26835301386018,75.7792860526436,Under,Down,Down,Down
3164,8/29/1974,70.760002,71.220001,69.370003,69.989998,79.8652802682186,75.22792528572516,Under,Down,Down,Down
3165,8/30/1974,70.220001,72.68,70.220001,72.150002,79.56272033613159,74.93478973470373,Under,Down,Down,Down
3166,9/3/1974,72.150002,73.010002,70.279999,70.519997,79.20810373471467,74.51433328377956,Under,Up,Up,Up
3167,9/4/1974,69.849998,69.849998,67.639999,68.690002,78.79562915688273,73.95963506627675,Under,Down,Up,Down
3168,9/5/1974,68.690002,71.300003,68.650002,70.870003,78.48482028798537,73.66538439329801,Under,Down,Down,Down
3169,9/6/1974,70.870003,72.419998,70.080002,71.419998,78.20776843355458,73.45153807012677,Under,Up,Up,Down
3170,9/9/1974,71.349998,71.349998,69.379997,69.720001,77.8749148087093,73.09615358725756,Under,Up,Up,Up
3171,9/10/1974,69.720001,70.470001,68.550003,69.239998,77.53629062013248,72.72890067418541,Under,Down,Down,Up
3172,9/11/1974,69.239998,70.0,68.220001,68.550003,77.18388718404886,72.3309104195011,Under,Down,Down,Down
3173,9/12/1974,68.540001,68.540001,66.220001,66.709999,76.7731464709489,71.79558552240574,Under,Down,Down,Down
3174,9/13/1974,66.709999,66.910004,64.739998,65.199997,76.31929747208817,71.16743423455758,Under,Down,Down,Down
3175,9/16/1974,65.199997,66.919998,64.150002,66.260002,75.92481529671215,70.70005973602828,Under,Down,Down,Down
3176,9/17/1974,66.449997,68.839996,66.449997,67.379997,75.5897243831156,70.38386328497798,Under,Up,Down,Down
3177,9/18/1974,67.379997,68.139999,65.919998,67.720001,75.28110777985617,70.13016211498007,Under,Up,Up,Up
3178,9/19/1974,68.360001,70.760002,68.360001,70.089996,75.07753476888143,70.12633677069624,Under,Up,Up,Up
3179,9/20/1974,70.089996,71.120003,68.620003,70.139999,74.8839059151998,70.12763793539183,Under,Up,Up,Up
3180,9/23/1974,70.139999,71.019997,68.790001,69.419998,74.66963501656451,70.0602436558307,Under,Up,Up,Up
3181,9/24/1974,69.029999,69.029999,67.419998,68.019997,74.40886489826786,69.86593445051349,Under,Down,Down,Up
3182,9/25/1974,68.019997,69.769997,66.860001,67.57,74.14067411794365,69.64727402665507,Under,Down,Down,Down
3183,9/26/1974,67.400002,67.400002,65.790001,66.459999,73.83947117214194,69.34372402411648,Under,Down,Down,Down
3184,9/27/1974,66.459999,67.089996,64.580002,64.940002,73.49047238107755,68.92432192658158,Under,Down,Down,Down
3185,9/30/1974,64.849998,64.849998,62.52,63.540001,73.10025781711373,68.41152945738334,Under,Down,Down,Down
3186,10/1/1974,63.540001,64.370003,61.75,63.389999,72.7194633536975,67.93328846144207,Under,Down,Down,Down
3187,10/2/1974,63.389999,64.620003,62.740002,63.380001,72.35320992806231,67.49964203654284,Under,Down,Down,Down
3188,10/3/1974,63.380001,63.48,61.66,62.279999,71.95818204853046,67.00253317591971,Under,Down,Down,Down
3189,10/4/1974,62.279999,63.23,60.959999,62.34,71.58099843878416,66.55848239726069,Under,Down,Down,Down
3190,10/7/1974,62.779999,65.400002,62.779999,64.949997,71.32095916667498,66.4052933118073,Under,Up,Down,Down
3191,10/8/1974,64.949997,66.07,63.950001,64.839996,71.066803748374,66.25621737734946,Under,Up,Up,Up
3192,10/9/1974,64.839996,68.150002,63.740002,67.82,70.93947811118286,66.40514905569712,Under,Down,Up,Up
3193,10/10/1974,68.300003,71.480003,68.300003,69.790001,70.89440057741099,66.72751590753549,Under,Up,Up,Up
3194,10/11/1974,69.790001,71.989998,68.800003,71.139999,70.90403188810076,67.14775239253211,Under,Up,Up,Up
3195,10/14/1974,71.169998,74.43,71.169998,72.739998,70.97603055915563,67.68034721229095,Under,Up,Up,Up
3196,10/15/1974,72.739998,73.349998,70.610001,71.440002,70.99422551762012,68.03840957302515,Under,Up,Up,Up
3197,10/16/1974,71.440002,71.980003,69.540001,70.330002,70.96817753653698,68.25665647083227,Under,Down,Up,Up
3198,10/17/1974,70.330002,72.0,69.410004,71.169998,70.97609206451592,68.53411756884825,Under,Down,Down,Down
3199,10/18/1974,71.199997,73.339996,71.199997,72.279999,71.02722566982904,68.89086818133889,Under,Up,Down,Down
3200,10/21/1974,72.279999,73.919998,71.239998,73.5,71.12419721218868,69.32983311644946,Under,Up,Up,Up
3201,10/22/1974,73.5,75.089996,72.550003,73.129997,71.20285602739696,69.69175348631141,Under,Up,Up,Up
3202,10/23/1974,72.809998,72.809998,70.400002,71.029999,71.19607732044022,69.81920543999604,Under,Down,Up,Up
3203,10/24/1974,70.980003,70.980003,68.800003,70.220001,71.15779981767787,69.8573764457107,Under,Down,Down,Down
3204,10/25/1974,70.220001,71.589996,69.459999,70.120003,71.11710190325914,69.88238849850015,Under,Down,Down,Down
3205,10/28/1974,70.120003,70.669998,68.889999,70.089996,71.07682324038625,69.90216064150013,Under,Down,Down,Down
3206,10/29/1974,70.489998,73.190002,70.489998,72.830002,71.1455753486064,70.18100267564297,Under,Down,Down,Down
3207,10/30/1974,72.830002,75.449997,72.400002,74.309998,71.26967035454341,70.57424032558174,Under,Up,Up,Up
3208,10/31/1974,74.309998,75.900002,73.150002,73.900002,71.37282061514955,70.89097953266919,Under,Up,Up,Up
3209,11/1/1974,73.900002,74.849998,72.68,73.879997,71.47114125769271,71.17564786289117,Under,Down,Up,Up
3210,11/4/1974,73.800003,73.800003,71.93,73.080002,71.53423383582242,71.3570149235682,Under,Down,Down,Up
3211,11/5/1974,73.080002,75.360001,72.489998,75.110001,71.6744599991235,71.71444216894265,Over,Down,Down,Down
3212,11/6/1974,75.110001,77.410004,74.230003,74.75,71.79506941092258,72.00354291475765,Over,Up,Up,Up
3213,11/7/1974,74.75,76.300003,73.849998,75.209999,71.92898821833738,72.30891968478072,Over,Down,Up,Up
3214,11/8/1974,75.209999,76.0,74.010002,74.910004,72.04589079801042,72.5566420005159,Over,Up,Up,Up
3215,11/11/1974,74.910004,75.699997,74.040001,75.150002,72.16762064906884,72.80362866713342,Over,Down,Up,Down
3216,11/12/1974,75.150002,75.589996,73.339996,73.669998,72.22653740792889,72.88614003216834,Over,Up,Down,Up
3217,11/13/1974,73.669998,74.25,72.32,73.349998,72.27059468604932,72.93031698148565,Over,Down,Down,Down
3218,11/14/1974,73.349998,74.540001,72.529999,73.059998,72.30155167875327,72.94266755467748,Over,Down,Down,Down
3219,11/15/1974,73.059998,73.269997,71.410004,71.910004,72.28619686782177,72.8443186447082,Over,Down,Down,Down
3220,11/18/1974,71.099998,71.099998,68.949997,69.269997,72.16791452006406,72.50390705949789,Over,Down,Down,Down
3221,11/19/1974,69.269997,69.709999,67.660004,68.199997,72.01230991143409,72.09401086335524,Over,Down,Down,Down
3222,11/20/1974,68.199997,69.25,67.360001,67.900002,71.8510429345151,71.69458144779759,Under,Down,Down,Down
3223,11/21/1974,67.900002,68.940002,66.849998,68.18,71.7070804664949,71.3598594051502,Under,Down,Down,Down
3224,11/22/1974,68.239998,70.0,68.239998,68.900002,71.5969989580049,71.12558727132638,Under,Up,Down,Down
3225,11/25/1974,68.900002,69.68,67.790001,68.830002,71.48848927337727,70.90696010262863,Under,Up,Up,Up
3226,11/26/1974,68.830002,70.360001,68.190002,69.470001,71.40933287049972,70.77010685475925,Under,Down,Up,Up
3227,11/27/1974,69.470001,71.309998,69.169998,69.940002,71.35171205204877,70.69104924954408,Under,Up,Up,Up
3228,11/29/1974,69.940002,70.489998,69.18,69.970001,71.2975273049096,70.62237798768274,Under,Up,Up,Up
3229,12/2/1974,69.800003,69.800003,67.809998,68.110001,71.17252627334452,70.38310398885581,Under,Up,Up,Up
3230,12/3/1974,68.110001,68.129997,66.620003,67.169998,71.01556438027218,70.07709389467907,Under,Down,Down,Down
3231,12/4/1974,67.169998,68.32,66.610001,67.410004,70.87416985555564,69.82308533328106,Under,Down,Down,Down
3232,12/5/1974,67.410004,68.0,65.900002,66.129997,70.68812386122012,69.47136263487334,Under,Up,Down,Down
3233,12/6/1974,66.129997,66.199997,64.400002,65.010002,70.46545241568208,69.04647114583778,Under,Down,Down,Down
3234,12/9/1974,65.010002,66.290001,64.129997,65.599998,70.27465028173376,68.71823560813895,Under,Down,Down,Down
3235,12/10/1974,65.879997,68.169998,65.879997,67.279999,70.15721297656772,68.58126069307811,Under,Up,Down,Down
3236,12/11/1974,67.279999,69.029999,66.830002,67.669998,70.05967513434939,68.49447376992781,Under,Up,Up,Up
3237,12/12/1974,67.669998,68.610001,66.559998,67.449997,69.9573348153553,68.39499979183944,Under,Up,Up,Up
3238,12/13/1974,67.449997,68.150002,66.32,67.07,69.84410599906685,68.26880933547378,Under,Down,Up,Up
3239,12/16/1974,67.07,67.739998,66.019997,66.459999,69.71139592067208,68.09654168447628,Under,Down,Down,Down
3240,12/17/1974,66.459999,67.919998,65.860001,67.580002,69.6278118453516,68.04734742881188,Under,Down,Down,Down
3241,12/18/1974,67.580002,69.010002,67.300003,67.900002,69.56005459651429,68.0333145308298,Under,Up,Up,Up
3242,12/19/1974,67.900002,68.620003,66.93,67.650002,69.48515057312157,67.99680857551267,Under,Up,Up,Up
3243,12/20/1974,67.650002,67.93,66.360001,66.910004,69.38416443299916,67.8933033778448,Under,Down,Up,Up
3244,12/23/1974,66.910004,67.18,65.339996,65.959999,69.24988343562664,67.7091791513834,Under,Down,Down,Down
3245,12/24/1974,65.959999,67.25,65.860001,66.879997,69.1569467126609,67.63020942268021,Under,Down,Down,Down
3246,12/26/1974,66.879997,68.190002,66.620003,67.440002,69.08961554745851,67.612094430044,Under,Up,Down,Down
3247,12/27/1974,67.440002,67.989998,66.489998,67.139999,69.01315999657778,67.56713296051599,Under,Up,Up,Up
3248,12/30/1974,67.139999,67.650002,66.230003,67.160004,68.94048721239827,67.52835877380018,Under,Down,Up,Up
3249,12/31/1974,67.160004,69.040001,67.150002,68.559998,68.92556606681403,67.62661012867635,Under,Up,Down,Up
3250,1/2/1975,68.650002,70.919998,68.650002,70.230003,68.97672045635073,67.87455230689764,Under,Up,Up,Up
3251,1/3/1975,70.230003,71.639999,69.290001,70.709999,69.04469216394483,68.14459484909787,Under,Up,Up,Up
3252,1/6/1975,70.709999,72.239998,70.330002,71.07,69.12411600065288,68.42320486346951,Under,Up,Up,Up
3253,1/7/1975,71.07,71.75,69.919998,71.019997,69.19846427513707,68.67051840028194,Under,Up,Up,Up
3254,1/8/1975,71.019997,71.529999,69.650002,70.040001,69.23146571532777,68.8009453145408,Under,Down,Up,Up
3255,1/9/1975,70.040001,71.419998,69.040001,71.169998,69.30748658923649,69.02656937982263,Under,Down,Down,Down
3256,1/10/1975,71.599998,73.75,71.599998,72.610001,69.43699695828604,69.36784858174428,Under,Up,Up,Up
3257,1/13/1975,72.610001,73.809998,71.830002,72.309998,69.54966366580423,69.64805328824482,Over,Up,Up,Up
3258,1/14/1975,72.309998,72.699997,71.019997,71.68,69.63320626714524,69.84157202269769,Over,Down,Up,Up
3259,1/15/1975,71.68,72.769997,70.449997,72.139999,69.73151186451209,70.06046983005982,Over,Down,Down,Up
3260,1/16/1975,72.139999,72.93,71.260002,72.050003,69.82243308551162,70.24994917957792,Over,Up,Down,Down
3261,1/17/1975,72.050003,72.360001,70.559998,70.959999,69.86704351353077,70.31757297199907,Over,Down,Up,Down
3262,1/20/1975,70.959999,71.459999,69.800003,71.080002,69.91461051300017,70.39018526038011,Over,Down,Down,Down
3263,1/21/1975,71.080002,72.040001,70.25,70.699997,69.9454099830786,70.4196911403439,Over,Up,Down,Down
3264,1/22/1975,70.699997,71.970001,69.860001,71.739998,70.01578598374219,70.54543465078734,Over,Down,Down,Down
3265,1/23/1975,71.739998,73.110001,71.089996,72.07,70.09634339614446,70.69063135071237,Over,Up,Up,Up
3266,1/24/1975,72.07,73.57,71.550003,72.980003,70.20942808649174,70.90866674588261,Over,Up,Up,Up
3267,1/27/1975,73.760002,76.029999,73.760002,75.370003,70.41180357329598,71.3335559129414,Over,Up,Up,Up
3268,1/28/1975,75.370003,77.589996,75.360001,76.029999,70.63212496257849,71.78083620694699,Over,Up,Up,Up
3269,1/29/1975,76.029999,78.029999,75.230003,77.260002,70.89204170914404,72.30266152057109,Over,Up,Up,Up
3270,1/30/1975,77.260002,78.690002,75.82,76.209999,71.1005890538835,72.67478889956432,Over,Up,Up,Up
3271,1/31/1975,76.209999,77.720001,75.410004,76.980003,71.33115430667237,73.084809290082,Over,Down,Up,Up
3272,2/3/1975,76.980003,78.550003,76.360001,77.82,71.58561884366561,73.53577983388372,Over,Up,Down,Up
3273,2/4/1975,77.82,78.370003,76.0,77.610001,71.82186912430618,73.92380089732337,Over,Up,Up,Up
3274,2/5/1975,77.610001,79.400002,76.809998,78.949997,72.10140355080397,74.40248624043544,Over,Down,Up,Up
3275,2/6/1975,78.949997,80.720001,78.089996,78.559998,72.35468176449793,74.79843974134634,Over,Up,Up,Up
3276,2/7/1975,78.559998,79.120003,77.0,78.629997,72.60077255804704,75.16334995645622,Over,Down,Up,Up
3277,2/10/1975,78.629997,79.400002,77.769997,78.360001,72.8266246538099,75.4677929129842,Over,Up,Down,Up
3278,2/11/1975,78.360001,79.07,77.379997,78.580002,73.05224729483696,75.76419377841427,Over,Down,Down,Down
3279,2/12/1975,78.580002,80.209999,77.940002,79.919998,73.32157085190218,76.15998465666053,Over,Up,Down,Up
3280,2/13/1975,79.980003,82.529999,79.980003,81.010002,73.62307795574915,76.6218910703119,Over,Up,Up,Up
3281,2/14/1975,81.010002,82.330002,80.129997,81.5,73.93197685944527,77.08647287313934,Over,Up,Up,Up
3282,2/18/1975,81.5,82.449997,80.160004,80.93,74.20640913946703,77.4525230756975,Over,Up,Up,Up
3283,2/19/1975,80.93,81.940002,79.830002,81.440002,74.49007944772323,77.83228297325012,Over,Down,Down,Up
3284,2/20/1975,81.440002,82.779999,80.82,82.209999,74.79282139094978,78.24920830913106,Over,Up,Down,Up
3285,2/21/1975,82.209999,83.559998,81.720001,82.620003,75.09976968934392,78.66547447016619,Over,Up,Up,Up
3286,2/24/1975,82.620003,82.709999,80.870003,81.440002,75.34840625054612,78.92971518729323,Over,Up,Up,Up
3287,2/25/1975,81.089996,81.089996,79.050003,79.529999,75.51239027993647,78.98688507421768,Over,Down,Down,Equal
3288,2/26/1975,79.529999,80.889999,78.910004,80.370003,75.70288489640956,79.11861059095885,Over,Down,Down,Down
3289,2/27/1975,80.370003,81.639999,80.059998,80.769997,75.90159517498174,79.275885487058,Over,Up,Down,Down
3290,2/28/1975,80.769997,82.019997,80.07,81.589996,76.12466971713931,79.49627696448104,Over,Up,Up,Down
3291,3/3/1975,81.589996,83.459999,81.32,83.029999,76.39546694391817,79.83282192024475,Over,Up,Up,Up
3292,3/4/1975,83.029999,85.43,82.849998,83.559998,76.67642894611745,80.18779107069764,Over,Up,Up,Up
3293,3/5/1975,83.559998,84.709999,82.160004,83.900002,76.95970632077952,80.54133496872645,Over,Up,Up,Up
3294,3/6/1975,83.900002,84.169998,81.940002,83.690002,77.22363948467051,80.84120801932393,Over,Up,Up,Up
3295,3/7/1975,83.690002,85.139999,83.25,84.300003,77.50114393625206,81.1706170651026,Over,Down,Up,Up
3296,3/10/1975,84.300003,85.470001,83.43,84.949997,77.79325582110492,81.5305580112833,Over,Up,Up,Up
3297,3/11/1975,84.949997,85.889999,83.800003,84.360001,78.05077523988511,81.80002877211346,Over,Up,Up,Up
3298,3/12/1975,84.360001,84.730003,82.870003,83.589996,78.26799958341903,81.970501841436,Over,Down,Up,Up
3299,3/13/1975,83.589996,84.260002,82.519997,83.739998,78.48258775661829,82.13902528510877,Over,Down,Down,Down
3300,3/14/1975,83.739998,85.43,83.5,84.760002,78.72876086420189,82.3886421150984,Over,Up,Down,Down
3301,3/17/1975,84.760002,86.519997,84.389999,86.010002,79.0142997322724,82.73353353270808,Over,Up,Up,Up
3302,3/18/1975,86.010002,87.080002,84.75,85.129997,79.25413099767349,82.96176814864064,Over,Up,Up,Up
3303,3/19/1975,85.129997,85.169998,83.43,84.339996,79.45357668403923,83.09302794400821,Over,Down,Up,Up
3304,3/20/1975,84.339996,85.300003,83.019997,83.610001,79.61657371603769,83.1422634731503,Over,Down,Down,Down
3305,3/21/1975,83.610001,84.110001,82.519997,83.389999,79.76455117815387,83.16585733285028,Over,Down,Down,Down
3306,3/24/1975,82.389999,82.389999,80.599998,81.419998,79.82947066136352,82.99958501543597,Over,Down,Down,Down
3307,3/25/1975,81.419998,82.669998,80.080002,82.059998,79.91694232170221,82.91010053777539,Over,Down,Down,Down
3308,3/26/1975,82.160004,84.239998,82.160004,83.589996,80.06098364241977,82.97485248655869,Over,Up,Down,Down
3309,3/27/1975,83.589996,84.879997,83.040001,83.849998,80.20957244075625,83.058199678315,Over,Up,Up,Up
3310,3/31/1975,83.849998,84.620003,82.839996,83.360001,80.33311865876581,83.08694266133261,Over,Up,Up,Up
3311,4/1/1975,83.360001,83.589996,81.980003,82.639999,80.4235845545005,83.04437659834855,Over,Down,Down,Up
3312,4/2/1975,82.639999,83.57,81.800003,82.43,80.50226751314754,82.98586454136297,Over,Down,Down,Down
3313,4/3/1975,82.43,82.839996,80.879997,81.510002,80.54178651263196,82.8453062040903,Over,Down,Down,Down
3314,4/4/1975,81.510002,81.900002,80.290001,80.879997,80.55504966899933,82.65813389893886,Over,Down,Down,Down
3315,4/7/1975,80.879997,81.110001,79.660004,80.349998,80.54700842707778,82.43831143237325,Over,Down,Down,Down
3316,4/8/1975,80.349998,81.650002,80.129997,80.989998,80.56438056719239,82.30037681976627,Over,Down,Down,Down
3317,4/9/1975,80.989998,83.220001,80.910004,82.839996,80.65362038808681,82.35176912264566,Over,Up,Up,Down
3318,4/10/1975,82.839996,84.699997,82.68,83.769997,80.77583123561281,82.48683844429846,Over,Up,Up,Up
3319,4/11/1975,83.769997,84.68,82.93,84.18,80.9093280499025,82.64809192579385,Over,Up,Up,Up
3320,4/14/1975,84.18,86.120003,83.980003,85.599998,81.0932758910828,82.92922583762301,Over,Up,Up,Up
3321,4/15/1975,85.599998,87.239998,85.029999,86.300003,81.29746126790307,83.25025223403986,Over,Up,Up,Up
3322,4/16/1975,86.300003,87.099998,84.93,86.599998,81.50540388484805,83.56927564032178,Over,Up,Up,Up
3323,4/17/1975,86.599998,88.790001,86.43,87.25,81.73068216387362,83.91982081743399,Over,Up,Up,Up
3324,4/18/1975,87.25,87.589996,85.529999,86.300003,81.90987121627073,84.14650483482123,Over,Up,Up,Up
3325,4/21/1975,86.300003,87.989998,85.919998,87.230003,82.11850383524052,84.44017132674301,Over,Down,Down,Equal
3326,4/22/1975,87.230003,88.639999,86.580002,87.089996,82.31346431228991,84.69253558133892,Over,Up,Down,Up
3327,4/23/1975,87.089996,87.419998,85.650002,86.120003,82.46274033925893,84.82848485930664,Over,Down,Up,Down
3328,4/24/1975,86.120003,86.919998,85.0,86.040001,82.6030250710527,84.94386734889648,Over,Down,Down,Down
3329,4/25/1975,86.040001,87.5,85.620003,86.620003,82.76055361728592,85.10349931566824,Over,Down,Down,Down
3330,4/28/1975,86.620003,87.330002,85.540001,86.230003,82.89661045582373,85.2107853808427,Over,Up,Up,Down
3331,4/29/1975,86.230003,86.790001,85.040001,85.639999,83.00419432030124,85.25166286838149,Over,Down,Up,Up
3332,4/30/1975,85.639999,87.610001,85.0,87.300003,83.17265740577963,85.44674288091657,Over,Down,Down,Down
3333,5/1/1975,87.300003,89.099998,86.940002,88.099998,83.36588644869023,85.6994338446388,Over,Up,Up,Up
3334,5/2/1975,88.099998,89.980003,87.910004,89.220001,83.59545956834944,86.0347259546732,Over,Up,Up,Up
3335,5/5/1975,89.220001,90.82,88.260002,90.080002,83.8497553499828,86.41999033994243,Over,Up,Up,Up
3336,5/6/1975,90.080002,90.860001,88.150002,88.639999,84.03760804214035,86.63141973613838,Over,Up,Up,Up
3337,5/7/1975,88.639999,89.75,87.599998,89.080002,84.23534898166426,86.86461804698234,Over,Down,Down,Up
3338,5/8/1975,89.080002,90.129997,88.230003,89.559998,84.4441587470892,87.1213208996507,Over,Up,Down,Down
3339,5/9/1975,89.559998,91.239998,89.330002,90.529999,84.68281914916415,87.44595690920778,Over,Up,Up,Down
3340,5/12/1975,90.529999,91.669998,89.910004,90.610001,84.9152576531185,87.7472944416642,Over,Up,Up,Up
3341,5/13/1975,90.610001,92.260002,89.989998,91.580002,85.17662017652562,88.11231420912475,Over,Up,Up,Up
3342,5/14/1975,91.580002,93.230003,91.169998,92.269997,85.45479181666187,88.50828399873193,Over,Up,Up,Up
3343,5/15/1975,92.269997,93.510002,90.940002,91.410004,85.6883295493418,88.78463828456698,Over,Up,Up,Up
3344,5/16/1975,91.410004,91.589996,89.739998,90.43,85.87427741015193,88.9413394003225,Over,Down,Down,Up
3345,5/19/1975,90.43,91.07,88.980003,90.529999,86.05685472740089,89.09264031457751,Over,Down,Down,Down
3346,5/20/1975,90.529999,91.449997,89.580002,90.07,86.21423297338517,89.18572218937965,Over,Up,Down,Down
3347,5/21/1975,90.07,90.25,88.470001,89.059998,86.32583160187987,89.17374845705778,Over,Down,Down,Down
3348,5/22/1975,89.059998,90.300003,88.349998,89.389999,86.44599502925713,89.1943437468618,Over,Down,Down,Down
3349,5/23/1975,89.389999,91.019997,89.300003,90.580002,86.60811294967843,89.32631119954162,Over,Up,Down,Down
3350,5/27/1975,90.580002,91.290001,89.599998,90.339996,86.754461304593,89.42285260910909,Over,Up,Up,Up
3351,5/28/1975,90.339996,91.139999,89.07,89.709999,86.87036474362857,89.45019988443204,Over,Down,Up,Up
3352,5/29/1975,89.709999,90.589996,88.830002,89.68,86.98054651838824,89.47208560972422,Over,Down,Down,Up
3353,5/30/1975,89.870003,91.620003,89.870003,91.150002,87.14405457649066,89.63188717070287,Over,Down,Down,Down
3354,6/2/1975,91.32,93.410004,91.32,92.580002,87.35722898525574,89.9126600115883,Over,Up,Up,Up
3355,6/3/1975,92.580002,93.760002,91.879997,92.889999,87.57420035838298,90.19621610572275,Over,Up,Up,Up
3356,6/4/1975,92.889999,93.610001,91.82,92.599998,87.77129046197581,90.42514771470154,Over,Up,Up,Up
3357,6/5/1975,92.599998,93.160004,91.410004,92.690002,87.96418111052579,90.6408481228252,Over,Down,Up,Up
3358,6/6/1975,92.690002,93.599998,91.75,92.480003,88.14127216501497,90.81600573017519,Over,Up,Down,Up
3359,6/9/1975,92.480003,92.870003,90.910004,91.209999,88.2616143938379,90.85352889872993,Over,Down,Down,Down
